year,dates,top_12_gross,top_12_change_lw,total_gross,total_change_lw,total_movies,top_movie,week_num,inflation_adj_total_gross
2000,Oct. 20Ð26,89584709,-4.80%,102362706,-3.90%,61,Meet the Parents,42,157638567.2
2000,Oct. 13Ð19,94142519,-4.90%,106498755,-6.90%,57,Meet the Parents,41,164008082.7
2000,Oct. 6Ð12,98952272,47.90%,114415040,38.40%,58,Meet the Parents,40,176199161.6
2000,Sep. 29ÐOct. 5,66901482,11.90%,82674073,5.10%,55,Remember the Titans,39,127318072.4
2000,Sep. 22Ð28,59764244,23.40%,78629799,13.80%,60,Exorcist Director's Cut,38,121089890.5
2000,Sep. 15Ð21,48448412,-14.80%,69074908,-10.20%,64,The Watcher,37,106375358.3
2000,Sep. 8Ð14,56890613,-33.70%,76947488,-35.40%,59,The Watcher,36,118499131.5
2000,Sep. 1Ð7,85811115,-15.30%,119075960,-4.00%,60,Bring It On,35,183376978.4
2000,Aug. 25Ð31,101268749,-16.10%,124027512,-12.30%,60,Bring It On,34,191002368.5
2000,Aug. 18Ð24,120682537,-13.60%,141411746,-11.60%,64,The Cell,33,217774088.8
2000,Aug. 11Ð17,139597534,-19.80%,159925000,-16.30%,66,Hollow Man,32,246284500
2000,Aug. 4Ð10,174004517,-2.90%,190996874,-1.70%,64,Hollow Man,31,294135186
2000,Jul. 28ÐAug. 3,179220386,-7.10%,194226580,-8.70%,58,The Klumps,30,299108933.2
2000,Jul. 21Ð27,192854611,-7.70%,212627599,-4.70%,69,What Lies Beneath,29,327446502.5
2000,Jul. 14Ð20,208827626,3.70%,223061116,4.40%,69,X-Men,28,343514118.6
2000,Jul. 7Ð13,201389473,-10.00%,213615565,-10.90%,71,Scary Movie,27,328967970.1
2000,Jun. 30ÐJul. 6,223663602,46.10%,239732067,42.20%,66,Perfect Storm,26,369187383.2
2000,Jun. 23Ð29,153077560,7.50%,168576763,9.60%,59,"Me, Myself and Irene",25,259608215
2000,Jun. 16Ð22,142437301,6.40%,153808030,7.10%,60,Shaft,24,236864366.2
2000,Jun. 9Ð15,133884866,-1.80%,143602030,-2.10%,53,Gone in 60 Seconds,23,221147126.2
2000,Jun. 2Ð8,136336221,-32.40%,146653600,-32.70%,58,Mission: Impossible II,22,225846544
2000,May 26ÐJun. 1,201791147,32.60%,217816716,27.30%,61,Mission: Impossible II,21,335437742.6
2000,May 19Ð25,152193493,62.60%,171131342,50.90%,55,Dinosaur,20,263542266.7
2000,May 12Ð18,93601346,-10.60%,113422887,-3.90%,54,Gladiator,19,174671246
2000,May 5Ð11,104676831,22.00%,118034511,16.80%,53,Gladiator,18,181773146.9
2000,Apr. 28ÐMay4,85834276,-15.60%,101038470,-18.00%,53,U-571,17,155599243.8
2000,Apr. 21Ð27,101675941,4.80%,123191263,5.30%,57,U-571,16,189714545
2000,Apr. 14Ð20,96994938,3.80%,117033830,8.40%,55,Rules of Engagement,15,180232098.2
2000,Apr. 7Ð13,93427951,-3.70%,108007567,-5.40%,54,Rules of Engagement,14,166331653.2
2000,Mar. 31ÐApr. 6,97014161,-1.80%,114129245,-2.50%,57,Erin Brockovich,13,175759037.3
2000,Mar. 24Ð30,98806636,-3.60%,117052123,-7.80%,61,Erin Brockovich,12,180260269.4
2000,Mar. 17Ð23,102540237,15.30%,126889619,8.60%,56,Erin Brockovich,11,195410013.3
2000,Mar. 10Ð16,88940492,19.70%,116850435,11.90%,60,Mission to Mars,10,179949669.9
2000,Mar. 3Ð9,74323004,-18.70%,104391273,-7.30%,55,Whole Nine Yards,9,160762560.4
2000,Feb. 25ÐMar. 2,91465348,-31.00%,112645978,-29.20%,55,Whole Nine Yards,8,173474806.1
2000,Feb. 18Ð24,132635644,37.40%,159098936,33.70%,61,Whole Nine Yards,7,245012361.4
2000,Feb. 11Ð17,96550654,11.80%,119011145,7.60%,54,Scream 3,6,183277163.3
2000,Feb. 4Ð10,86381190,47.10%,110651459,28.50%,55,Scream 3,5,170403246.9
2000,Jan. 28ÐFeb. 3,58735014,-21.10%,86115844,-18.40%,60,Eye of the Beholder,4,132618399.8
2000,Jan. 21Ð27,74480899,-34.90%,105493208,-28.00%,58,Next Friday,3,162459540.3
2000,Jan. 14Ð20,114321378,13.20%,146456782,11.90%,57,Next Friday,2,225543444.3
2000,Jan. 7Ð13,101013913,-29.40%,130929381,-19.00%,56,Stuart Little,1,201631246.7
2001,Dec. 28ÐJan. 3,254376175,-3.40%,290520484,0.90%,57,Fellowship of the Ring,52,427065111.5
2001,Dec. 21Ð27,263441209,81.50%,287952227,89.90%,50,Fellowship of the Ring,51,423289773.7
2001,Dec. 14Ð20,145114451,37.00%,151604533,34.10%,50,Vanilla Sky,50,222858663.5
2001,Dec. 7Ð13,105929128,5.30%,113047112,2.50%,56,Ocean's Eleven,49,166179254.6
2001,Nov. 30ÐDec. 6,100642403,-39.70%,110243057,-38.50%,57,Harry Potter / Sorcerer's Stone,48,162057293.8
2001,Nov. 23Ð29,166895273,-27.90%,179189822,-28.20%,56,Harry Potter / Sorcerer's Stone,47,263409038.3
2001,Nov. 16Ð22,231554917,57.30%,249674543,53.80%,58,Harry Potter / Sorcerer's Stone,46,367021578.2
2001,Nov. 9Ð15,147224615,-10.50%,162305030,-9.60%,58,"Monsters, Inc.",45,238588394.1
2001,Nov. 2Ð8,164400330,78.30%,179456448,65.70%,59,"Monsters, Inc.",44,263800978.6
2001,Oct. 26ÐNov. 1,92191016,-0.70%,108290922,1.80%,57,K-PAX,43,159187655.3
2001,Oct. 19Ð25,92797418,-6.10%,106404113,-3.50%,59,From Hell,42,156414046.1
2001,Oct. 12Ð18,98777997,-8.90%,110201848,-8.40%,58,Training Day,41,161996716.6
2001,Oct. 5Ð11,108441177,35.70%,120293722,27.10%,61,Training Day,40,176831771.3
2001,Sep. 28ÐOct. 4,79914399,42.70%,94625569,24.50%,58,Don't Say a Word,39,139099586.4
2001,Sep. 21Ð27,56005642,-15.00%,76015096,-9.10%,55,Hardball,38,111742191.1
2001,Sep. 14Ð20,65921240,-11.60%,83634364,-9.50%,58,Hardball,37,122942515.1
2001,Sep. 7Ð13,74525864,-30.50%,92421954,-31.40%,58,The Musketeer,36,135860272.4
2001,Aug. 31ÐSep. 6,107173481,-5.00%,134810641,-0.30%,57,Jeepers Creepers,35,198171642.3
2001,Aug. 24Ð30,112800351,-25.10%,135184358,-19.70%,58,American Pie 2,34,198721006.3
2001,Aug. 17Ð23,150565450,-30.50%,168437295,-27.40%,54,American Pie 2,33,247602823.7
2001,Aug. 10Ð16,216639990,-12.10%,231951630,-10.60%,56,American Pie 2,32,340968896.1
2001,Aug. 3Ð9,246413794,17.30%,259564447,15.00%,53,Rush Hour 2,31,381559737.1
2001,Jul. 27ÐAug. 2,210026166,3.80%,225717054,3.20%,57,Planet of the Apes (2001),30,331804069.4
2001,Jul. 20Ð26,202306251,6.90%,218803824,3.50%,52,Jurassic Park III,29,321641621.3
2001,Jul. 13Ð19,189218459,4.40%,211385698,4.60%,54,Legally Blonde,28,310736976.1
2001,Jul. 6Ð12,181270227,-14.60%,202065008,-13.00%,54,Cats & Dogs,27,297035561.8
2001,Jun. 29ÐJul. 5,212269745,7.80%,232202386,12.20%,57,A.I. Artificial Intelligence,26,341337507.4
2001,Jun. 22Ð28,196936465,6.20%,207006418,7.50%,54,Fast and the Furious,25,304299434.5
2001,Jun. 15Ð21,185446265,34.20%,192521334,33.20%,57,Tomb Raider,24,283006361
2001,Jun. 8Ð14,138218902,-16.70%,144498974,-16.50%,56,Swordfish,23,212413491.8
2001,Jun. 1Ð7,165879284,-20.70%,173116482,-19.40%,53,Pearl Harbor,22,254481228.5
2001,May 25Ð31,209169313,64.30%,214766296,64.70%,25,Pearl Harbor,21,315706455.1
2001,May 18Ð24,127288473,39.10%,130421791,26.60%,23,Shrek,20,191720032.8
2001,May 11Ð17,91521008,-26.80%,103061350,-25.60%,57,Mummy Returns,19,151500184.5
2001,May 4Ð10,125102228,79.10%,138502426,61.10%,60,Mummy Returns,18,203598566.2
2001,Apr. 27ÐMay3,69844163,-16.30%,85969632,-15.70%,59,Driven,17,126375359
2001,Apr. 20Ð26,83442012,-22.90%,101964068,-20.60%,57,Bridget Jones's Diary,16,149887180
2001,Apr. 13Ð19,108203422,-3.50%,128341796,-6.40%,56,Spy Kids,15,188662440.1
2001,Apr. 6Ð12,112166054,10.10%,137131430,14.50%,56,Spy Kids,14,201583202.1
2001,Mar. 30ÐApr. 5,101891577,13.70%,119795804,11.30%,54,Spy Kids,13,176099831.9
2001,Mar. 23Ð29,89624768,-4.60%,107638722,-2.20%,54,Heartbreakers,12,158228921.3
2001,Mar. 16Ð22,93986374,12.40%,110067956,9.50%,56,Exit Wounds,11,161799895.3
2001,Mar. 9Ð15,83630128,-12.00%,100543895,-11.40%,59,The Mexican,10,147799525.7
2001,Mar. 2Ð8,95042818,2.20%,113429798,0.40%,59,The Mexican,9,166741803.1
2001,Feb. 23ÐMar. 1,92999309,-36.60%,113002396,-34.00%,55,Hannibal,8,166113522.1
2001,Feb. 16Ð22,146594339,3.70%,171281994,3.10%,56,Hannibal,7,251784531.2
2001,Feb. 9Ð15,141326557,58.80%,166199939,34.70%,55,Hannibal,6,244313910.3
2001,Feb. 2Ð8,88995235,-6.70%,123422818,-1.40%,57,Wedding Planner,5,181431542.5
2001,Jan. 26ÐFeb. 1,95331420,-17.40%,125156615,-13.50%,57,Wedding Planner,4,183980224.1
2001,Jan. 19Ð25,115403741,-31.50%,144688287,-26.20%,58,Save the Last Dance,3,212691781.9
2001,Jan. 12Ð18,168487393,25.50%,196118833,25.60%,58,Save the Last Dance,2,288294684.5
2001,Jan. 5Ð11,134208812,-34.00%,156198230,-33.10%,58,Cast Away,1,229611398.1
2002,Dec. 27ÐJan. 2,289296343,11.10%,335302657,15.20%,124,Two Towers,52,479482799.5
2002,Dec. 20Ð26,260340955,71.00%,291116393,68.80%,118,Two Towers,51,416296442
2002,Dec. 13Ð19,152219758,76.30%,172428801,64.20%,119,Two Towers,50,246573185.4
2002,Dec. 6Ð12,86348529,-44.50%,105040278,-40.50%,122,Die Another Day,49,150207597.5
2002,Nov. 29ÐDec. 5,155539085,-28.90%,176375167,-27.60%,125,Die Another Day,48,252216488.8
2002,Nov. 22Ð28,218633875,11.70%,243732877,14.90%,134,Die Another Day,47,348538014.1
2002,Nov. 15Ð21,195764805,16.50%,212178978,12.10%,130,Harry Potter / Chamber of Secrets,46,303415938.5
2002,Nov. 8Ð14,168030128,31.30%,189290566,24.50%,129,8 Mile,45,270685509.4
2002,Nov. 1Ð7,127983306,13.50%,152096067,9.30%,135,The Santa Clause 2,44,217497375.8
2002,Oct. 25Ð31,112770074,19.50%,139174100,18.50%,144,Jackass,43,199018963
2002,Oct. 18Ð24,94363708,-23.30%,117492211,-17.50%,139,The Ring,42,168013861.7
2002,Oct. 11Ð17,122945330,-2.80%,142337118,2.30%,142,Red Dragon,41,203542078.7
2002,Oct. 4Ð10,126468954,10.20%,139109846,8.20%,137,Red Dragon,40,198927079.8
2002,Sep. 27ÐOct. 3,114727699,31.20%,128624892,25.30%,145,Sweet Home Alabama,39,183933595.6
2002,Sep. 20Ð26,87446579,-5.20%,102645742,-5.70%,140,Barbershop,38,146783411.1
2002,Sep. 13Ð19,92235944,12.10%,108809296,8.80%,137,Barbershop,37,155597293.3
2002,Sep. 6Ð12,82256904,-17.60%,99978086,-20.50%,130,My Big Fat Greek Wedding,36,142968663
2002,Aug. 30ÐSep. 5,99785838,-6.20%,125719726,-0.20%,129,Signs,35,179779208.2
2002,Aug. 23Ð29,106321107,-26.20%,126003973,-22.30%,131,Signs,34,180185681.4
2002,Aug. 16Ð22,144081743,-26.20%,162173895,-23.50%,125,XXX,33,231908669.9
2002,Aug. 9Ð15,195155642,-11.50%,212092046,-15.10%,118,XXX,32,303291625.8
2002,Aug. 2Ð8,220575069,9.90%,249895949,9.80%,120,Signs,31,357351207.1
2002,Jul. 26ÐAug. 1,200788472,30.20%,227583310,24.30%,115,Goldmember,30,325444133.3
2002,Jul. 19Ð25,154251789,-19.40%,183150628,-15.50%,111,Stuart Little 2,29,261905398
2002,Jul. 12Ð18,191386036,-6.50%,216742000,-4.30%,102,Men in Black II,28,309941060
2002,Jul. 5Ð11,204644199,-13.40%,226421108,-15.10%,90,Men in Black II,27,323782184.4
2002,Jun. 28ÐJul. 4,236375972,4.80%,266743638,9.20%,95,Mr. Deeds,26,381443402.3
2002,Jun. 21Ð27,225642275,0.60%,244262032,2.60%,90,Lilo & Stitch,25,349294705.8
2002,Jun. 14Ð20,224308136,47.50%,238001770,47.50%,95,Scooby-Doo,24,340342531.1
2002,Jun. 7Ð13,152100636,-8.20%,161402751,-7.50%,88,Sum of All Fears,23,230805933.9
2002,May 31ÐJun. 6,165749762,-26.80%,174572196,-26.60%,85,Sum of All Fears,22,249638240.3
2002,May 24Ð30,226343027,3.40%,237842428,3.50%,83,Attack of the Clones,21,340114672
2002,May 17Ð23,218879073,25.50%,229723801,20.00%,72,Attack of the Clones,20,328505035.4
2002,May 10Ð16,174389718,-12.20%,191389423,-10.70%,77,Spider-Man,19,273686874.9
2002,May 3Ð9,198503681,127.20%,214320992,99.20%,73,Spider-Man,18,306479018.6
2002,Apr. 26ÐMay2,87384943,-24.30%,107619533,-18.90%,75,Scorpion King,17,153895932.2
2002,Apr. 19Ð25,115384590,11.50%,132713023,7.30%,72,Scorpion King,16,189779622.9
2002,Apr. 12Ð18,103447485,-9.80%,123685270,-9.70%,68,Changing Lanes,15,176869936.1
2002,Apr. 5Ð11,114726890,-29.80%,136942038,-27.60%,63,Panic Room,14,195827114.3
2002,Mar. 29ÐApr. 4,163362265,1.80%,189211706,2.00%,64,Panic Room,13,270572739.6
2002,Mar. 22Ð28,160517836,5.10%,185534613,5.10%,63,Blade II,12,265314496.6
2002,Mar. 15Ð21,152715706,39.70%,176533038,27.50%,60,Ice Age,11,252442244.3
2002,Mar. 8Ð14,109336440,5.50%,138475523,3.50%,61,Time Machine,10,198019997.9
2002,Mar. 1Ð7,103622992,-,133835495,-1.50%,60,We Were Soldiers,9,191384757.9
2002,Feb. 22Ð28,103630904,-30.80%,135869548,-29.30%,58,Queen of the Damned,8,194293453.6
2002,Feb. 15Ð21,149664733,36.70%,192176483,41.70%,56,John Q.,7,274812370.7
2002,Feb. 8Ð14,109452772,10.90%,135636421,7.70%,57,Collateral Damage,6,193960082
2002,Feb. 1Ð7,98682164,-28.10%,125959322,-23.30%,56,Black Hawk Down,5,180121830.5
2002,Jan. 25Ð31,137319867,-9.10%,164197937,-7.10%,55,Black Hawk Down,4,234803049.9
2002,Jan. 18Ð24,151113292,33.00%,176703388,27.90%,48,Black Hawk Down,3,252685844.8
2002,Jan. 11Ð17,113634291,-14.80%,138189002,-13.80%,54,Fellowship of the Ring,2,197610272.9
2002,Jan. 4Ð10,133443605,-47.50%,160260760,-44.80%,54,Fellowship of the Ring,1,229172886.8
2003,Dec. 26ÐJan. 1,314288690,34.30%,356699059,34.90%,100,Return of the King,52,492244701.4
2003,Dec. 19Ð25,234093523,53.40%,264385950,57.40%,112,Return of the King,51,364852611
2003,Dec. 12Ð18,152641437,33.50%,167966091,33.30%,127,Return of the King,50,231793205.6
2003,Dec. 5Ð11,114327145,-33.10%,126009781,-33.20%,127,The Last Samurai,49,173893497.8
2003,Nov. 28ÐDec. 4,170865418,-11.60%,188698929,-14.40%,131,The Haunted Mansion,48,260404522
2003,Nov. 21Ð27,193271344,28.60%,220462164,34.30%,135,The Cat in the Hat,47,304237786.3
2003,Nov. 14Ð20,150252770,-22.90%,164221943,-21.60%,139,Master and Commander,46,226626281.3
2003,Nov. 7Ð13,194741815,31.40%,209562591,25.60%,144,The Matrix Revolutions,45,289196375.6
2003,Oct. 31ÐNov. 6,148246322,-0.90%,166859353,1.60%,149,The Matrix Revolutions,44,230265907.1
2003,Oct. 24Ð30,149589338,12.80%,164238465,11.30%,155,Scary Movie 3,43,226649081.7
2003,Oct. 17Ð23,132605194,2.50%,147602741,-0.50%,149,Texas Chainsaw Massacre,42,203691782.6
2003,Oct. 10Ð16,129401840,21.50%,148375370,16.50%,152,Kill Bill Vol. 1,41,204758010.6
2003,Oct. 3Ð9,106481948,6.10%,127396594,7.40%,147,School of Rock,40,175807299.7
2003,Sep. 26ÐOct. 2,100376594,-11.10%,118670384,-11.20%,145,The Rundown,39,163765129.9
2003,Sep. 19Ð25,112941422,24.10%,133597948,20.30%,142,Underworld,38,184365168.2
2003,Sep. 12Ð18,91030186,43.50%,111086142,28.60%,150,Once Upon a Time in Mexico,37,153298876
2003,Sep. 5Ð11,63446388,-47.20%,86372648,-43.60%,140,Jeepers Creepers 2,36,119194254.2
2003,Aug. 29ÐSep. 4,120193621,1.80%,153013762,6.00%,138,Jeepers Creepers 2,35,211158991.6
2003,Aug. 22Ð28,118048075,-37.70%,144321787,-31.90%,133,Freddy Vs. Jason,34,199164066.1
2003,Aug. 15Ð21,189363115,1.40%,211943495,2.50%,127,Freddy Vs. Jason,33,292482023.1
2003,Aug. 8Ð14,186728564,-8.60%,206713355,-9.60%,126,S.W.A.T.,32,285264429.9
2003,Aug. 1Ð7,204382890,-8.20%,228624368,-5.50%,128,American Wedding,31,315501627.8
2003,Jul. 25Ð31,222618232,4.80%,241791369,3.90%,138,Spy Kids 3,30,333672089.2
2003,Jul. 18Ð24,212409288,2.10%,232749767,3.70%,132,Bad Boys II,29,321194678.5
2003,Jul. 11Ð17,208060998,-2.60%,224545691,-3.20%,132,Pirates of the Caribbean,28,309873053.6
2003,Jul. 4Ð10,213670455,4.60%,231921446,0.40%,134,Terminator 3,27,320051595.5
2003,Jun. 27ÐJul. 3,204255566,0.90%,230985347,7.00%,141,Charlie's Angels: Full Throttle,26,318759778.9
2003,Jun. 20Ð26,202437466,16.70%,215937229,16.80%,128,Hulk,25,297993376
2003,Jun. 13Ð19,173537714,-19.00%,184920537,-17.90%,131,Finding Nemo,24,255190341.1
2003,Jun. 6Ð12,214293097,-6.80%,225325313,-6.60%,130,Finding Nemo,23,310948931.9
2003,May 30ÐJun. 5,229796751,2.30%,241229014,2.00%,129,Finding Nemo,22,332896039.3
2003,May 23Ð29,224623673,11.20%,236622316,11.50%,126,Bruce Almighty,21,326538796.1
2003,May 16Ð22,201958303,21.60%,212207260,16.60%,144,The Matrix Reloaded,20,292846018.8
2003,May 9Ð15,166082662,-5.50%,181964977,-5.60%,144,X2: X-Men United,19,251111668.3
2003,May 2Ð8,175692876,90.40%,192690155,66.60%,142,X2: X-Men United,18,265912413.9
2003,Apr. 25ÐMay1,92264011,-24.20%,115690292,-22.90%,162,Identity,17,159652603
2003,Apr. 18Ð24,121781934,6.10%,150053654,8.00%,154,Anger Management,16,207074042.5
2003,Apr. 11Ð17,114764578,11.10%,138999836,10.60%,145,Anger Management,15,191819773.7
2003,Apr. 4Ð10,103270945,-4.70%,125729359,-4.60%,141,Phone Booth,14,173506515.4
2003,Mar. 28ÐApr. 3,108316699,0.30%,131760042,1.60%,139,Head of State,13,181828858
2003,Mar. 21Ð27,108003103,-7.70%,129654540,-6.50%,133,Bringing Down the House,12,178923265.2
2003,Mar. 14Ð20,117008601,-5.90%,138608828,-5.50%,127,Bringing Down the House,11,191280182.6
2003,Mar. 7Ð13,124381402,14.20%,146664455,9.50%,130,Bringing Down the House,10,202396947.9
2003,Feb. 28ÐMar. 6,108956440,-9.80%,133929741,-7.60%,124,Cradle 2 the Grave,9,184823042.6
2003,Feb. 21Ð27,120748854,-27.10%,144922413,-25.60%,120,Old School,8,199992929.9
2003,Feb. 14Ð20,165604342,31.80%,194759997,28.90%,121,Daredevil,7,268768795.9
2003,Feb. 7Ð13,125676692,10.30%,151070604,5.20%,115,How to Lose a Guy,6,208477433.5
2003,Jan. 31ÐFeb. 6,113965070,10.90%,143656405,9.50%,117,The Recruit,5,198245838.9
2003,Jan. 24Ð30,102798012,-26.20%,131148038,-25.40%,122,Darkness Falls,4,180984292.4
2003,Jan. 17Ð23,139327329,21.00%,175743406,20.00%,128,Kangaroo Jack,3,242525900.3
2003,Jan. 10Ð16,115174984,-19.20%,146495448,-14.40%,111,Just Married,2,202163718.2
2003,Jan. 3Ð9,142484510,-50.80%,171188651,-49.00%,116,Two Towers,1,236240338.4
2004,Dec. 31ÐJan. 6,161194556,-39.70%,193280990,-37.20%,99,Meet the Fockers,53,258996526.6
2004,Dec. 24Ð30,267183515,44.70%,307604684,51.00%,100,Meet the Fockers,52,412190276.6
2004,Dec. 17Ð23,184663948,39.20%,203714192,44.10%,102,Lemony Snicket,51,272977017.3
2004,Dec. 10Ð16,132625373,25.60%,141349324,19.20%,119,Ocean's Twelve,50,189408094.2
2004,Dec. 3Ð9,105611181,-40.10%,118567914,-37.80%,113,National Treasure,49,158881004.8
2004,Nov. 26ÐDec. 2,176432193,-20.20%,190490270,-21.00%,113,National Treasure,48,255256961.8
2004,Nov. 19Ð25,221015000,36.00%,241140764,37.20%,114,National Treasure,47,323128623.8
2004,Nov. 12Ð18,162493646,-11.50%,175752002,-11.70%,123,The Incredibles,46,235507682.7
2004,Nov. 5Ð11,183667603,50.80%,199126382,49.00%,127,The Incredibles,45,266829351.9
2004,Oct. 29ÐNov. 4,121795463,-0.90%,133678380,-0.40%,136,The Grudge,44,179129029.2
